Date,Location,Model,Fatalities,lon,lat
"Dec 3, 2016 at 1022 LT","Tanjung Pinang, Riau Islands",PZL-Mielec AN-28,13,104.4665072,0.9185504
"Nov 28, 2016 at 2158 LT","La Ceja, Antioquia",Avro RJ85,71,-75.431596,6.027632
"Nov 27, 2016 at 1000 LT","Pitu (Morotai Island), North Maluku",Casa 212 Aviocar,0,128.3228351,2.0417896
"Nov 24, 2016 at 1200 LT","Zielona Góra-Przylep, Lubusz Voivodeship (Lubuskie)",Piper PA-31-310 Navajo,1,15.4496511,51.9686735
"Nov 18, 2016 at 1925 LT","Elko, Nevada",Piper PA-31 Cheyenne,4,-115.7631232,40.8324211
"Jul 5, 2017 at 1110 LT","Wamena, Special Region of Papua",Pilatus PC-6 Turbo Porter,5,NA,NA
"Oct 28, 2016 at 1750 LT","Fort Lauderdale-Hollywood, Florida",Douglas DC-10,0,-80.1651315,26.0347664
"Oct 28, 2016 at 1435 LT","Chicago-O'Hare, Illinois",Boeing 767-300,0,-87.9073214,41.9741625
"Oct 24, 2016 at 0720 LT","Luqa, Malta",Swearingen SA227AC Metro III,5,14.4868883,35.8582865
"Oct 15, 2016 at 0835 LT","Fairoaks, Surrey",Socata TBM-900,0,-0.6352343,51.2654372
"Oct 13, 2016 at 2136 LT","Kelowna, British Columbia",Cessna 500 Citation,4,-119.4960106,49.8879519
"Oct 11, 2016 at 1638 LT","Belaya Gora, Republic of Yakutia (Sakha)",Antonov AN-26,0,146.232876,68.549671
"Oct 10, 2016 at 0925 LT","Laidman Lake, British Columbia",De Havilland DHC-2 Beaver,1,-125.1868829,53.135726
"Apr 17, 2017 at 1213 LT","Cascais, Estremadura - Lisbon District",Piper PA-31 Cheyenne,5,NA,NA
"Oct 2, 2016 at 1330 LT","Togiak, Alaska",Cessna 208B Grand Caravan,3,-160.3763889,59.0619444
"Sep 30, 2016 at 1200 LT","San Antonio de Prado, Antioquia",Cessna 208B Grand Caravan,4,-75.648271,6.181239
"Sep 30, 2016 at 0845 LT","Lopez Island, Washington",De Havilland DHC-2 Beaver,0,-122.8955118,48.4869178
"Sep 25, 2016 at 1946 LT","Jakarta-Perdanakusuma, City District of Jakarta",Learjet 31,0,106.8864668,-6.2649026
"Sep 24, 2016 at 1656 LT","Siddharthanagar, Lumbini",Bae Jetstream 41,0,83.4376749,27.5065119
"Oct 31, 2016 at 0830 LT","Ilaga, Special Region of West Papua",De Havilland DHC-4 Caribou,4,NA,NA
"Sep 10, 2016 at 1535 LT","Orlando-Apopka, Florida",Beechcraft Super King Air 200,0,-81.5822421,28.7048626
"Aug 31, 2016 at 1001 LT","Russian Mission, Alaska",Cessna 208B Grand Caravan,3,-161.3202777,61.785
"Aug 23, 2014 at 1355 LT","Mulume Munene, Sud-Kivu",Let 410UVP,4,NA,NA
"Aug 22, 2012 at 1217 LT","Ngerende, Rift Valley",Let 410UVP,4,NA,NA
"Aug 5, 2016 at 0407 LT","Bergamo, Lombardy",Boeing 737-400,0,9.6772698,45.6982642
"Aug 3, 2016 at 1237 LT","Dubai, Dubai",Boeing 777-300,0,55.2707828,25.2048493
"Aug 2, 2016 at 2030 LT","Destin-Executive, Florida",Cessna 414 Chancellor,1,-86.47098,30.3966602
"Aug 1, 2016 at 1630 LT","Bangkok, Bangkok City District",Piper PA-31-350 Navajo Chieftain,1,100.5017651,13.7563309
"Aug 1, 2016 at 0730 LT","Canaima, Bolívar",Piper PA-31-350 Navajo Chieftain,2,-62,5.5
"Jul 31, 2016 at 2100 LT","Londrina, Paraná",Embraer EMB-820 Navajo,8,-51.1695824,-23.3044524
"Jul 31, 2016 at 1335 LT","Krapivinsky, Kemerovo oblast",PZL-Mielec AN-2,3,87.165889,54.9282136
"Jul 29, 2016 at 0105 LT","McKinleyville, California",Piper PA-31 Cheyenne,4,-124.1006205,40.9465152
"Jul 26, 2016 at 1509 LT","Houston-Sugar Land, Texas",Embraer EMB-505 Phenom 300,0,-95.6485833,29.610808
"Jul 22, 2016","Bay of Bengal, World",Antonov AN-32,29,87.5395855,13.531665
"Jul 20, 2016 at 1220 LT","Jinshan, Shanghai",Cessna 208B Grand Caravan,5,121.341969,30.741991
"Jul 15, 2016 at 2220 LT","Elwyn Creek, British Columbia",De Havilland DHC-2 Beaver,1,-117.2720668,49.5045556
"Oct 25, 2011","Al Anad AFB (Kadamat Al Awdhali), Lahij (لحج)",Antonov,4,NA,NA
"Jul 1, 2016 at 1130 LT","Uyan, Irkutsk oblast",Ilyushin II-76,10,101.978873,54.3459134
"Jun 30, 2016 at 0610 LT","Novopokrovskoye, Saratov oblast",PZL-Mielec AN-2,2,43.606058,51.573921
"Jun 26, 2016 at 1109 LT","Dervenochoria, Central Greece / Στερεά Ελλάδα",Canadair CL-215,0,23.5,38.216667
"Jun 26, 2016","Bereke, Almaty Province",PZL-Mielec AN-2,1,78.7713704,45.9873383
"Jun 19, 2016 at 1908 LT","Ferreira do Alentejo, Baixo Alentejo",Pilatus PC-6 Turbo Porter,1,-8.1140713,38.0593873
"Feb 9, 2017","Thebephatshwa AFB, Kweneng District",Casa 212 Aviocar,3,NA,NA
"Jun 16, 2016 at 1305 LT","Bạch Long Vĩ Island, Hải Phòng City District",Casa 212 Aviocar,9,107.7310526,20.1311435
"Jun 16, 2016 at 0820 LT","State College, Pennsylvania",Piper PA-31-310 Navajo,2,-77.8600012,40.7933949
"Oct 9, 2016 at 1000 LT","Uchuquinua, Cajamarca",Cessna 207 Skywagon,3,NA,NA
"Jun 14, 2016","Bor, Jonglei (جونقلي)",Antonov AN-32,0,31.5655424,6.2132663
"Jun 11, 2016 at 1245 LT","Marina di Cecina, Tuscany",Pilatus PC-6 Turbo Porter,2,10.4965683,43.3008257
"May 31, 2016 at 2125 LT","Beaverdell, British Columbia",Rockwell Aero Commander 700,0,-119.088297,49.434206
"May 31, 2016 at 1140 LT","Trapani, Sicily",Piaggio P.1HH HammerHead,0,12.537202,38.0176177
"May 19, 2016 at 0237 LT","Mediterranean Sea, World",Airbus A320,66,18.0480105,34.5531284
"Jul 11, 2016 at 1200 LT","Montijo AFB, Estremadura - Lisbon District",Lockheed C-130 Hercules,3,NA,NA
"Oct 12, 2012 at 1740 LT","Kacha NAS, Autonomous Republic of Crimea",Beriev Be-12,3,NA,NA
"May 12, 2016 at 1400 LT","Lodi, California",Cessna 208B Grand Caravan,0,-121.2722194,38.1341477
"May 10, 2016 at 1030 LT","Lumby, British Columbia",De Havilland DHC-2 Beaver,0,-118.967831,50.250699
"May 5, 2016 at 1611 LT","Manning, Alberta",Convair CV-580,0,-117.6286479,56.9233174
"Apr 30, 2016","El Obeid, North Kurdufan (شمال كردفان)",Antonov AN-26,5,30.2166519,13.1782149
"Apr 26, 2016 at 1425 LT","Foley, Alabama",Cessna 421B Golden Eagle II,0,-87.6835974,30.4065868
"Apr 19, 2016 at 0920 LT","Slidell, Louisiana",Beechcraft King Air 90,2,-89.7811745,30.2751945
"Apr 14, 2016 at 1420 LT","Maryevka, Samara oblast",PZL-Mielec AN-2,1,49.4498004,52.5624364
"Apr 13, 2016 at 1420 LT","Kiunga, Western (Fly)",Britten-Norman Islander,12,141.2998457,-6.1202907
"Apr 9, 2016 at 0904 LT","Hare, Texas",Rockwell Grand Commander 690,2,-97.2730511,30.6710292
"Apr 6, 2016 at 1435 LT","Kanoya AFB, Kyūshū",BAe 125,6,130.8339137,31.3709339
"Apr 6, 2016 at 0625 LT","Puerto Gaitán, Casanare",Douglas DC-3,0,-71.45001,6.25002
"Sep 22, 2011 at 1313 LT","Wamena, Special Region of Papua",Pilatus PC-6 Turbo Porter,3,NA,NA
"Apr 3, 2016 at 0732 LT","Aksarino, Republic of Tatarstan",PZL-Mielec AN-2,0,51.9070627,55.3435832
"Mar 29, 2016 at 1140 LT","Le Havre-aux-Maisons (Magdalen Islands), Quebec",Mitsubishi MU-2 Marquise,7,-61.735888,47.474494
"Mar 29, 2016","Rostov-on-Don, Rostov oblast",Antonov AN-26,0,39.701505,47.2357137
"Mar 19, 2016 at 1523 LT","Campo de Marte AFB (São Paulo), São Paulo",Comp Air CA-9,7,-46.6377697,-23.509422
"Mar 19, 2016 at 0341 LT","Rostov-on-Don, Rostov oblast",Boeing 737-800,62,39.701505,47.2357137
"Mar 18, 2016 at 1630 LT","Oeiras, Piauí",Beechcraft King Air 90,0,-42.1572702,-7.0386232
"Mar 16, 2016","Hawijah, Kirkuk (كركوك)",Cessna 208B Grand Caravan,3,43.7669217,35.3248248
"Mar 15, 2016 at 1430 LT","Fátima, Pastaza",IAI Arava 201,22,-77.9988904,-1.4279679
"Mar 9, 2016 at 0905 LT","Cox's Bazar, Chittagong",Antonov AN-26,3,92.0077316,21.4394636
"Mar 3, 2016","Langebaanweg AFB, Western Cape",Cessna 208 Caravan,0,18.15157,-32.97328
"Feb 26, 2016 at 1305 LT","Chilkhaya, Karnali",PAC 750XL - Pacific Aerospace Corporation,2,81.8442934,29.1001022
"Feb 26, 2016 at 0840 LT","Kuala Selangor, Selangor",Casa-Nurtanio CN235 (IPTN),0,101.249762,3.340184
"Feb 24, 2016 at 0800 LT","Dana, Dhawalagiri",De Havilland DHC-6 Twin Otter,23,83.624201,28.5353754
"Feb 10, 2016 at 0940 LT","Naypyidaw, Mandalay Region",Beechcraft 1900D,5,96.0785104,19.7633057
"Feb 6, 2016 at 1246 LT","Gai, Orenburg oblast",PZL-Mielec AN-2,3,58.4552011,51.4731583
"Feb 1, 2016 at 0518 LT","Florianópolis, Santa Catarina",Socata TBM-900,2,-48.5482195,-27.5948698
"Jan 30, 2016 at 0738 LT","Santiago de Querétaro, Querétaro",Rockwell Sabreliner 75,0,-100.3898881,20.5887932
"Jan 29, 2016 at 1011 LT","Windhoek-Hosea Kutako, Khomas Region",Cessna 425 Conquest,3,17.0795107,-22.5534211
"Jan 28, 2016 at 1730 LT","Mashhad, Razavi Khorasan",McDonnell Douglas MD-83,0,59.6167549,36.2604623
"Jan 28, 2016 at 1530 LT","Whitsunday Island, Queensland",Cessna 208 Caravan,0,148.7268546,-20.1862425
"Jan 18, 2016 at 1000 LT","Cedar Fort, Utah",Cessna 525 CJ1,2,-112.1043852,40.3271707
"Jan 8, 2016 at 0020 LT","Akkajaure Lake, Norrbotten",Canadair RegionalJet CRJ-200,2,17.6473912,67.6536073
"Jan 6, 2016 at 0836 LT","Savannah, Georgia",Pilatus PC-12,0,-81.0998342,32.0835407
"Jan 3, 2016 at 1430 LT","Paraty, Rio de Janeiro",Beechcraft King Air 90,2,-44.7204757,-23.2200542
"Jan 2, 2016 at 1253 LT","Anaktuvuk Pass, Alaska",Cessna 208B Grand Caravan,0,-151.7358334,68.1433333
"Dec 23, 2015 at 1400 LT","Telluride, Colorado",Hawker 400,0,-107.8122852,37.9374939
"Dec 22, 2015 at 0940 LT","New Delhi, National Capital Territory of Delhi",Beechcraft Super King Air 200,10,77.2090212,28.6139391
"Dec 11, 2015 at 0910 LT","Pickle Lake, Ontario",Cessna 208B Grand Caravan,1,-90.193782,51.467825
"Dec 7, 2015 at 1055 LT","Swellendam, Western Cape",Eclipse EA500,1,20.4381254,-34.0257083
"Nov 26, 2015 at 1826 LT","Mexico City, Federal District of Mexico City",Boeing 737-300,0,-99.133208,19.4326077
"Nov 22, 2015 at 0758 LT","Osh, Osh City",Boeing 737-300,0,72.8160976,40.5139985
"Nov 17, 2015 at 1001 LT","Acandí, Chocó",Cessna 402,2,-77.27898,8.510109
"Nov 10, 2015 at 1904 LT","Guarda-Mor, Minas Gerais",Cessna 650 Citation VII,4,-47.058302,-17.7893536
"Nov 10, 2015 at 1451 LT","Akron, Ohio",BAe 125,9,-81.5190053,41.0814447
"Nov 10, 2015","Malakal, Upper Nile (أعالي النيل)",Hawker-Siddeley Andover C.1,0,31.6682347,9.5279875
"Nov 9, 2015 at 1001 LT","Climax, Georgia",Cessna 441 Conquest,2,-84.4312983,30.8760231
"Aug 14, 2017 at 1215 LT","Zemyo, Kansai",Socata TBM-700,2,NA,NA
"Nov 3, 2015 at 0927 LT","Lahore, Punjab (پنجاب)",Boeing 737-400,0,74.3571581,31.5546061
"Nov 2, 2015","Koussané, Kayes",Fokker F27 Friendship,0,-11.2339605,14.8849445
"Nov 2, 2015","Kinshasa-N'Djili, Kinshasa City Province",Grumman G-159 Gulfstream GI,0,15.3775245,-4.4047339
"Oct 31, 2015 at 0613 LT","Hasna, North Sinai",Airbus A321,224,33.7799574,30.464478
"Oct 29, 2015 at 1232 LT","Fort Lauderdale-Hollywood, Florida",Boeing 767-200,0,-80.1651315,26.0347664
"Oct 28, 2015 at 1615 LT","Buenos Aires, Buenos Aires City",Pilatus PC-6 Turbo Porter,2,-58.3815591,-34.6036844
"Oct 26, 2015 at 1245 LT","Weston, Florida",Piper PA-31-350 Navajo Chieftain,0,-80.3997748,26.1003654
"Oct 22, 2015 at 1700 LT","La Tinaja, Guanajuato",Learjet 31,4,-101.217008,20.491257
"Oct 19, 2015 at 0645 LT","San Fernando, Buenos Aires province",Learjet 35,0,-58.5579643,-34.4430618
"Oct 16, 2015 at 1515 LT","Taylor, British Columbia",Cessna 207 Skywagon,2,-120.6814069,56.1525689
"Oct 15, 2015 at 1810 LT","Ray, Michigan",Comp Air CA-8,0,-82.9286428,42.743032
"Oct 14, 2015 at 1548 LT","Hammond-Northshore, Louisiana",Cessna 421B Golden Eagle II,2,-90.419215,30.5247191
"Oct 14, 2015","Yumbillo, Valle del Cauca",Cessna 208B Grand Caravan,3,-76.5343721,3.5939754
"Oct 12, 2015 at 1930 LT","Afgooye, Shabeellaha Hoose (شبيلي السفلى)",Airbus A300,0,45.1167167,2.1426226
"Oct 12, 2015 at 1400 LT","Bamyan, Bamyan",Cessna 208B Grand Caravan,2,67.8212104,34.8100067
"Oct 6, 2015 at 0831 LT","Tamale, Northern",BAe 146,0,-0.8484524,9.4329186
"Oct 3, 2015 at 1020 LT","Stapleford, Essex",Beechcraft Super King Air 200,2,0.1651586,51.6419973
"Oct 3, 2015","Bogotá-Guaymaral, Bogotá Capital District",Piper PA-31-310 Navajo,2,-74.0745024,4.8161069
"Oct 2, 2015 at 1515 LT","Mt Latimojong, South Sulawesi",De Havilland DHC-6 Twin Otter,10,120.024167,-3.385
"Oct 2, 2015 at 1203 LT","Veracruz, Rivas",Piper PA-31-310 Navajo,1,-85.8754885,11.4234908
"Oct 2, 2015 at 0019 LT","Jalalabad, Nangarhar",Lockheed C-130 Hercules,13,70.4729434,34.4198488
"Oct 2, 2015","Dubai-Palm Jumeirah, Dubai",De Havilland DHC-6 Twin Otter,0,55.138978,25.1124317
"Sep 30, 2015 at 1016 LT","Saarbrücken, Saarland",De Havilland Dash-8-400,0,6.9969327,49.2401572
"Sep 25, 2015 at 1200 LT","Déline, Northwest Territories",Curtiss C-46,0,-123.4227517,65.1888507
"Sep 24, 2015 at 1325 LT","Ozren, Republika Srpska",Cessna 421B Golden Eagle II,1,18.2533333,44.6141667
"Sep 21, 2015 at 1620 LT","Boise, Idaho",Rockwell Aero Commander 680,0,-116.2146068,43.6187102
"Sep 16, 2015 at 1155 LT","Bratsk, Irkutsk oblast",PZL-Mielec AN-2,0,101.6038977,56.1737661
"Sep 15, 2015 at 1845 LT","Thompson, Manitoba",Piper PA-31-350 Navajo Chieftain,0,-97.8508715,55.7449251
"Sep 15, 2015 at 0606 LT","Iliamna, Alaska",De Havilland DHC-3 Otter,3,-154.9061111,59.7547222
"Sep 8, 2015 at 1612 LT","Las Vegas, Nevada",Boeing 777-200,0,-115.1398296,36.1699412
"Sep 6, 2015 at 1445 LT","Franklin, North Carolina",De Havilland DHC-6 Twin Otter,0,-83.3815429,35.1823171
"Sep 5, 2015 at 1812 LT","Atlantic Ocean, World",BAe 125,7,-28.6731465,-14.5994134
"Aug 29, 2015 at 1430 LT","Casale Monferrato, Piedmont",Technoavia SM-92 Turbo Finist,0,8.450503,45.1316088
"Aug 29, 2015 at 0647 LT","Kaduna, Kaduna",Dornier DO228,7,7.4165053,10.5104642
"Aug 26, 2015 at 2230 LT","Charallave, Miranda",Cessna 550 Citation II,0,-66.8677563,10.2110018
"Aug 23, 2015 at 1340 LT","Les Bergeronnes, Quebec",De Havilland DHC-2 Beaver,6,-69.5451907,48.2435115
"Aug 20, 2015 at 0923 LT","Vršatec, Trenčín Region",Let 410UVP,3,18.147161,49.067989
"Aug 20, 2015 at 0923 LT","Vršatec, Trenčín Region",Let 410UVP,4,18.147161,49.067989
"Aug 16, 2016 at 1540 LT","Charallave, Miranda",Cessna 550 Citation II,2,NA,NA
"Aug 16, 2015 at 1100 LT","San Diego, California",Rockwell Sabreliner 60,4,-117.1610838,32.715738
"Aug 16, 2015 at 0650 LT","Cape Town, Western Cape",Cessna 441 Conquest,5,18.4240553,-33.9248685
"Aug 12, 2015 at 1205 LT","Saba, Dutch Antilles",Cessna 208B Grand Caravan,0,-63.2326763,17.6354642
"Apr 9, 2014 at 0940 LT","Doyo Baru, Special Region of Papua",Quest Kodiak 100,2,NA,NA
"Oct 3, 2012 at 1115 LT","Korupun, Special Region of West Papua",PAC 750XL - Pacific Aerospace Corporation,2,NA,NA
"Aug 9, 2015 at 0900 LT","Clovis, New Mexico",Cessna 421B Golden Eagle II,0,-103.2052272,34.4047987
"Aug 8, 2015 at 1003 LT","Cajicá, Cundinamarca",Cessna 402,3,-74.024773,4.917531
"Aug 1, 2015 at 2130 LT","Georgetown, Kentucky",Beechcraft King Air 90,0,-84.5588311,38.2097967
"Aug 1, 2015 at 0740 LT","Stăncuța, Brăila",PZL-Mielec AN-2,1,27.835509,44.8966069
"Jul 31, 2015 at 1508 LT","Blackbushe, Hampshire",Embraer EMB-505 Phenom 300,4,-0.839339,51.322737
"Jul 31, 2015 at 1430 LT","Agustín Codazzi, Cesar",Casa-Nurtanio CN235 (IPTN),11,-73.237105,10.034716
"Jul 29, 2015 at 1811 LT","Milwaukee-Lawrence J. Timmerman, Wisconsin",Socata TBM-700,2,-88.0315696,43.1165833
"Jul 27, 2015","Lagoa Santa (Belo Horizonte), Minas Gerais",Embraer EMB-110 Bandeirante,0,-43.904397,-19.6416298
"Jul 24, 2015 at 1730 LT","Yangon, Yangon Region",ATR72-200,0,96.195132,16.8660694
"Jul 17, 2015 at 1332 LT","Point Howard, Alaska",Cessna 207 Skywagon,1,-135.055,58.2919444
"Jul 14, 2015 at 1650 LT","Litovko, Khabarovsk Krai",Tupolev TU-95,2,135.178055,49.2425629
"Jul 7, 2015 at 0800 LT","Dubai-Skydive Campus, Dubai",Cessna 208B Grand Caravan,0,55.138296,25.091427
"Jul 6, 2015 at 1622 LT","Pskov, Pskov oblast",Quest Kodiak 100,0,28.3344735,57.8166994
