"","Date","Location","Airplane.model","Fatalities","lon","lat"
"473","Jul 16, 2007 at 1242 LT","São Paulo, São Paulo","ATR42-300",0,-46.6333094,-23.5505199
"474","Apr 9, 2007 at 1130 LT","Ouani, Comoros Islands","Let 410UVP",0,NA,NA
"475","Mar 23, 2007 at 1349 LT","Istanbul, Marmara Region ","Airbus A300",0,28.9783589,41.0082376
"476","Dec 19, 2006","Monterrey, Nuevo León","Rockwell Sabreliner 40R",0,-100.3161126,25.6866142
"477","Dec 12, 2006","Kenana, West Kurdufan ","Fokker 50",0,29.083333,12.383333
"478","Nov 15, 2006","Mérida, Yucatán","Casa 212 Aviocar",0,-89.5925857,20.9673702
"479","Oct 30, 2006 at 1430 LT","Punta Pájaros, Quintana Roo","Cessna 208 Caravan",0,NA,NA
"480","Oct 15, 2006","Alek, South Sudan","Avro 748",0,NA,NA
"481","Oct 10, 2006 at 1400 LT","Mamit, Special Region of Papua","De Havilland DHC-4 Caribou",0,NA,NA
"482","Aug 17, 2006 at 0054 LT","Bogotá, Bogotá Capital District","Boeing 727-200",0,-74.072092,4.7109886
"483","Jul 10, 2006 at 1200 LT","Simferopol-Gvardeyskoye AFB, Autonomous Republic of Crimea","Tupolev TU-134",0,NA,NA
"484","Jun 26, 2006 at 0958 LT","Barcelona, Anzoátegui","BAe 125",0,-64.67768,10.1445691
"485","Jun 7, 2006 at 0702 LT","Medellín, Antioquia","Boeing 747-200",0,-75.5812119,6.244203
"486","Jun 1, 2006 at 0755 LT","Bocas del Toro, Colón","BAe Jetstream 31",0,-82.269193,9.4047951
"487","May 6, 2006 at 2000 LT","Mersin, Mediterranean Region ","PZL-Mielec AN-2",0,34.6414811,36.8121041
"488","Mar 23, 2006","Talil AFB, Dhi Qar ","Antonov AN-24",0,46.0906532,30.9354623
"489","Mar 17, 2006 at 0930 LT","Old Fangak, Jonglei ","Avro 748",0,30.8829082,9.0695553
"490","Feb 3, 2006 at 1020 LT","Ohakea AFB ","De Havilland DH.104 Dove",0,175.3848265,-40.2017524
"491","Jan 26, 2006","Padak, Jonglei ","Let 410UVP",0,NA,NA
"492","Jan 15, 2006","Cap Haïtien, North","BAe Jetstream 31",0,-72.2067681,19.7370362
"493","Nov 18, 2005 at 1407 LT","Sangar, Republic of Yakutia ","PZL-Mielec AN-2",0,NA,NA
"494","Oct 19, 2005 at 1057 LT","Labozhskoe, Arkhangelsk oblast","PZL-Mielec AN-2",0,NA,NA
"495","Sep 11, 2005 at 0900 LT","Mae Sot, Tak ","NAMC YS-11",0,98.704075,16.7751826
"496","Sep 8, 2005 at 0815 LT","Murandi, Nord-Kivu","De Havilland DHC-6 Twin Otter",0,NA,NA
"497","Sep 2, 2005 at 1200 LT","Zielona Góra, Lubusz Voivodeship ","PZL-Mielec AN-2",0,15.5061862,51.9356214
"498","Jun 30, 2005","Kapoeta, Western Equatoria ","Hawker-Siddeley Andover C.1",0,33.5923941,4.7713162
"499","Jun 28, 2005 at 1745 LT","Matemo Island, Manica","Cessna 208 Caravan",0,NA,NA
"500","Jun 6, 2005 at 0740 LT","Miraflores, Boyacá","Douglas DC-3",0,-73.143061,5.196395
"501","Mar 29, 2005","Lake Garda, Trentino-Alto Adige / Südtirol","Grumman G-44 Widgeon",0,10.6351414,45.6049385
"502","Mar 18, 2005 at 1625 LT","Punto Fijo, Falcón","Piper PA-31-350 Navajo Chieftain",0,-70.1813018,11.711511
"503","Feb 15, 2005","Old Fangak, Jonglei ","Hawker-Siddeley Andover C.1",0,30.8829082,9.0695553
"504","Jan 24, 2005 at 0605 LT","Düsseldorf, North Rhine-Westphalia","Boeing 747-200",0,6.7734556,51.2277411
"505","Nov 19, 2004","Menzel Lejmat, Illizi","De Havilland DHC-6 Twin Otter",0,NA,NA
"506","Oct 6, 2004","Urimán, Bolívar","Cessna 207 Skywagon",0,-62.65,5.35
"507","Sep 25, 2004 at 1523 LT","Fullerton, California","Bushmaster 2000",0,-117.9242123,33.8703645
"508","Aug 16, 2004 at 0835 LT","Panama City, Panamá","Cessna 208 Caravan",0,-79.5198696,8.9823792
"509","Jul 24, 2004 at 1200 LT","Punto Fijo, Falcón","Beechcraft Super King Air 350",0,-70.1813018,11.711511
"510","Jul 23, 2004 at 0930 LT","El Jaguey, La Unión","Basler BT-67",0,-87.9065098,13.1626662
"511","Jul 16, 2004 at 1324 LT","Østre Æra, Hedmark","PZL-Mielec AN-28",0,11.6702101,61.2581004
"512","Jun 26, 2004 at 1852 LT","Wau, Western Bahr el Ghazal ","Antonov AN-12",0,27.9834738,7.7091884
"513","Jun 23, 2004 at 1940 LT","Siglufjörður, Northeastern Region ","Dornier DO228",0,-18.9112652,66.1511755
"514","Jun 16, 2004","Chitral, Khyber Pakhtunkhwa ","Fokker F27 Friendship",0,71.7871069,35.8522867
"515","Apr 28, 2004 at 0356 LT","Bogotá, Bogotá Capital District","Douglas DC-10",0,-74.072092,4.7109886
"516","Feb 4, 2004 at 2233 LT","Colombo, Western Province ","Ilyushin II-18",0,79.861243,6.9270786
"517","Dec 4, 2003 at 0909 LT","Bodø, Nordland","Dornier DO228",0,14.404916,67.2803556
"518","Oct 20, 2003","Tarauacá, Acre","Fokker F27 Friendship",0,-71.3824374,-8.2132323
"519","Oct 13, 2003","Urimán, Bolívar","PZL-Mielec AN-2",0,-62.65,5.35
"520","Sep 24, 2003","Wau, Western Bahr el Ghazal ","Antonov AN-12",0,27.9834738,7.7091884
"521","Sep 17, 2003 at 1828 LT","Luleå, Norrbotten","BAe Jetstream 31",0,22.1567026,65.584819
"522","Aug 26, 2003 at 1730 LT","Trollhättan, Västergötland","PZL-Mielec AN-2",0,12.2858206,58.2834894
"523","Aug 19, 2003","Old Fangak, Jonglei ","Cessna 208 Caravan",0,30.8829082,9.0695553
"524","Jun 16, 2003 at 0630 LT","Adar Yeil, Upper Nile ","Fokker 50",0,NA,NA
"525","Apr 30, 2003","Ocaña, Norte de Santander","Basler BT-67",0,-73.3532199,8.25205
"526","Apr 27, 2003","Democratic Republic of Congo, DRC","Vickers Viscount",0,21.758664,-4.038333
"527","Mar 23, 2003","Santos, São Paulo","Mitsubishi MU-300 Diamond",0,-46.3264089,-23.9561304
"528","Mar 22, 2003 at 2235 LT","Tainan, Tainan City ","Airbus A321",0,120.2270277,22.9997281
"529","Mar 15, 2003 at 1725 LT","Samedan, Graubünden","PZL-Mielec AN-2",0,9.8729339,46.5339944
"530","Feb 19, 2003 at 1200 LT","Karachi, Sindh ","Dornier DO228",0,67.0099388,24.8614622
"531","Feb 14, 2003","Brasschaat AFB, Antwerp","Britten-Norman Islander",0,NA,NA
"532","Jan 14, 2003 at 1300 LT","Pattaya, Chonburi ","Britten-Norman Islander",0,100.8770813,12.9276082
"533","Dec 27, 2002","Ust-Kuyga, Republic of Yakutia ","Antonov AN-26",0,NA,NA
"534","Nov 9, 2002 at 1900 LT","Antalya, Mediterranean Region ","Antonov AN-26",0,30.7133233,36.8968908
"535","Oct 31, 2002 at 2215 LT","Monterrey, Nuevo León","Douglas DC-9",0,-100.3161126,25.6866142
"536","Sep 15, 2002","Negage, Uíge","Ilyushin II-18",0,15.2721456,-7.7606204
"537","Aug 30, 2002 at 1205 LT","São Paulo, São Paulo","Fokker 100",0,-46.6333094,-23.5505199
"538","Aug 13, 2002 at 0815 LT","Muyowosi-Murungi, Kigoma Region","Cessna 406 Caravan",0,NA,NA
"539","Apr 30, 2002","Heglig, South Kordofan ","Antonov AN-12",0,29.4063234,10.002559
"540","Apr 21, 2002 at 0913 LT","Wamena, Special Region of Papua","Antonov AN-72",0,138.9516853,-4.1001213
"541","Feb 27, 2002 at 0915 LT","Heglig, South Kordofan ","Antonov AN-26",0,29.4063234,10.002559
"542","Jan 29, 2002 at 1130 LT","Canaima, Bolívar","PZL-Mielec AN-28",0,-62,5.5
"543","Jan 22, 2002","Guayaramerín, Beni","Fokker F27 Friendship",0,-65.3688335,-10.8237579
"544","Nov 27, 2001 at 1545 LT","Playa del Carmen, Yucatán","Let 410UVP",0,-87.0738851,20.6295586
"545","Nov 27, 2001 at 0538 LT","Bahía Blanca, Buenos Aires province","Swearingen SA226AC Metro II",0,-62.2663478,-38.7183177
"546","Sep 16, 2001 at 1053 LT","Goiânia, Goiás","Boeing 737-200",0,-49.2647885,-16.6868824
"547","Jul 12, 2001","Veydelev, Russia","PZL-Mielec AN-2",0,NA,NA
"548","Jul 6, 2001 at 1856 LT","Lyon, Rhône","Lockheed L-1011 TriStar",0,4.835659,45.764043
"549","Jun 18, 2001 at 1200 LT","Tel Aviv ","ATR42-300",0,34.7817676,32.0852999
"550","Jun 14, 2001 at 1608 LT","Båtsfjord, Finnmark","De Havilland Dash-8-100",0,29.7118032,70.6304931
"551","Mar 22, 2001 at 1835 LT","Orléans, Loiret","Piper PA-31-350 Navajo Chieftain",0,1.909251,47.902964
"552","Mar 7, 2001 at 0032 LT","São Paulo, São Paulo","Boeing 707",0,-46.6333094,-23.5505199
"553","Feb 10, 2001","Macapá, Amapá","Mitsubishi MU-2 Marquise",0,-51.070535,0.0355735
"554","Jan 9, 2001","Palacios, Copán","IAI Arava 201",0,-5.9350887,37.1626616
"555","Nov 9, 2000","Chilanga, Morazán","Basler BT-67",0,-88.1218171,13.7189252
"556","Nov 1, 2000 at 1745 LT","Sao Tomé, Água Grande","Rockwell Aero Commander 690",0,6.733343,0.3301924
"557","Sep 14, 2000 at 1100 LT","Panama City, Panamá","Rockwell Gulfstream Jetprop 840",0,-79.5198696,8.9823792
"558","Jul 4, 2000 at 1715 LT","Thessaloniki, Thessaly / Tessa","Tupolev TU-154",0,NA,NA
"559","May 30, 2000","Goiânia, Goiás","Beechcraft King Air 90",0,-49.2647885,-16.6868824
"560","Apr 30, 2000 at 1535 LT","Ciudad Bolivar, Bolívar","PZL-Mielec AN-2",0,-63.5535552,8.0882791
"561","Apr 22, 2000 at 1405 LT","Siirt, Southeastern Anatolia Region ","Avro RJ70",0,42.1494523,37.8658862
"562","Dec 31, 1999 at 1055 LT","Saint-Barthélemy, Guadeloupe","Beechcraft 99",0,-61.531419,16.2542883
"563","Dec 8, 1999","João Pessoa, Paraíba","Cessna 208 Caravan",0,-34.8450118,-7.1194958
"564","Aug 24, 1999 at 1236 LT","Hualien, Hualien County ","McDonnell Douglas MD-90",0,121.6111949,23.9910732
"565","Aug 17, 1999","Lubotu, Maniema","De Havilland DHC-6 Twin Otter",0,NA,NA
"566","Aug 14, 1999","Juba, Central Equatoria ","Boeing 707",0,31.57125,4.859363
"567","Aug 2, 1999","Malargüe, Mendoza","Pilatus PC-6 (Porter & Turbo Porter)",0,-69.5797495,-35.484462
"568","Jul 28, 1999","Rhodes, South Aegean / ","Swearingen SA227AC Metro III",0,27.9717606,36.2432553
"569","Jun 11, 1999","Kukës, Kukës","Lockheed C-130 Hercules",0,20.4142923,42.0807464
"570","May 19, 1999","Berberati, Mambéré-Kadéï","Yakovlev Yak-40",0,15.7879371,4.2571092
"571","Mar 24, 1999 at 1210 LT","Rhodes, South Aegean / ","Airbus A300",0,27.9717606,36.2432553
"572","Mar 15, 1999 at 1155 LT","Pohang, North Gyeongsang ","McDonnell Douglas MD-83",0,129.3434808,36.0190178
"573","Mar 4, 1999 at 1912 LT","Biarritz, Pyrénées-Atlantiques","Boeing 737-200",0,-1.558626,43.4831519
"574","Feb 23, 1999","La Serena, Región de Coquimbo","Piper PA-31-350 Navajo Chieftain",0,-71.2519374,-29.9026691
"575","Feb 2, 1999","Porto Velho, Rondônia","Britten-Norman Islander",0,-63.9004303,-8.7611605
"576","Jan 9, 1999 at 0920 LT","Valdepeñas, Castile-La Mancha","Beechcraft Queen Air 80",0,-3.4599326,38.8113074
"577","Dec 28, 1998 at 0847 LT","Curitiba, Paraná","Embraer ERJ-145",0,-49.2653819,-25.4244287
"578","Nov 23, 1998 at 1445 LT","Río Gallegos, Santa Cruz","Swearingen SA226AC Metro II",0,-69.2168291,-51.6230485
"579","Sep 10, 1998","Chaklala AFB ","Lockheed C-130 Hercules",0,NA,NA
"580","Aug 5, 1998 at 2201 LT","Seoul, Seoul ","Boeing 747-400",0,126.9779692,37.566535
"581","Jul 26, 1998 at 2355 LT","Keflavik, Southern Peninsula ","Fairchild-Hiller FH-227",0,-22.5582716,63.9997549
"582","Apr 23, 1998 at 0800 LT","Lopé National Park, Ogooué-Ivindo ","Short 330",0,11.5248055,-0.4411596
"583","Mar 7, 1998 at 1000 LT","La Ceiba, Atlántida","Let 410UVP",0,-86.7919009,15.770288
"584","Feb 11, 1998 at 0924 LT","Samedan, Graubünden","Junkers JU.52",0,9.8729339,46.5339944
"585","Feb 6, 1998 at 1239 LT","Chambéry, Savoie","Gulfstream GIII",0,5.917781,45.564601
"586","Jan 11, 1998 at 1458 LT","Samsun, Black Sea Region ","Avro RJ100",0,36.3360667,41.2797031
"587","Dec 31, 1997","Gogrial, Warrap ","Antonov AN-26",0,28.0991001,8.5323992
"588","Nov 27, 1997 at 1200 LT","Sangafa-Siwo, Emae Island, Vanuatu","Britten-Norman Islander",0,NA,NA
"589","Nov 24, 1997","La Ceiba, Atlántida","GAF Nomad N24",0,-86.7919009,15.770288
"590","Nov 19, 1997","La Ceiba, Atlántida","GAF Nomad N24",0,-86.7919009,15.770288
"591","Oct 18, 1997","São Paulo, São Paulo","Cessna 208 Caravan",0,-46.6333094,-23.5505199
"592","Sep 23, 1997","Chania, Crete / ","Lockheed P-3 Orion",0,24.0180367,35.5138298
"593","Sep 6, 1997 at 0945 LT","Najran, Najran ","Boeing 737-200",0,44.2289441,17.5656036
"594","Aug 22, 1997 at 1438 LT","Galapagos Islands, Galápagos","Boeing 727-200",0,-90.9656019,-0.9537691
"595","Aug 12, 1997 at 1741 LT","Thessaloniki, Thessaly / Tessa","Boeing 727-200",0,NA,NA
"596","Jul 8, 1997","Córdoba, Córdoba","Rockwell Aero Commander 500",0,-64.1887761,-31.4200833
"597","Jun 25, 1997 at 0122 LT","Bogotá, Bogotá Capital District","Boeing 727-100",0,-74.072092,4.7109886
"598","May 29, 1997","Saskatoon, Saskatchewan","De Havilland DHC-2 Beaver",0,-106.6700458,52.1332144
"599","May 28, 1997","Luanda, Luanda","Beechcraft Super King Air 200",0,13.2894368,-8.8399876
"600","May 22, 1997 at 1530 LT","Luquillo, Puerto Rico","Convair CV-240",0,-65.7206559,18.3789857
"601","May 16, 1997 at 1314 LT","Great Falls, Montana","Learjet 35",0,-111.2833449,47.4941836
"602","May 14, 1997 at 1628 LT","Porto, Douro Litoral","Saab 340",0,-8.6186483,41.1440126
"603","May 10, 1997 at 1700 LT","South Africa, South Africa","Beechcraft Super King Air 200",0,22.937506,-30.559482
"604","May 2, 1997 at 1722 LT","Paros Island, South Aegean / ","Dornier DO228",0,25.1515337,37.0853941
"605","Apr 24, 1997 at 1710 LT","Bronson Creek, British Columbia","Bristol 170 Freighter",0,-131,56.7
"606","Apr 22, 1997 at 1200 LT","Reykjavik, Capital Region ","Piper PA-31-350 Navajo Chieftain",0,-21.8174392,64.1265206
"607","Apr 21, 1997","Colombo, Western Province ","Antonov AN-32",0,79.861243,6.9270786
"608","Apr 13, 1997 at 1132 LT","Verkhnevilyuisk, Republic of Yakutia ","Antonov AN-12",0,NA,NA
"609","Mar 7, 1997 at 1210 LT","Pesqueria, Nuevo León","Beechcraft King Air 90",0,-100.0502741,25.7842519
"610","Mar 3, 1997 at 0700 LT","La Ceiba, Atlántida","Let 410UVP",0,-86.7919009,15.770288
"611","Mar 3, 1997 at 0044 LT","Vilhena, Rondônia","Embraer EMB-120 Brasília",0,-60.1304566,-12.7414031
"612","Feb 19, 1997","Semipalatinsk, Pavlodar","Yakovlev Yak-40",0,NA,NA
"613","Feb 4, 1997","Uruapan, Michoacán","Swearingen SA226AC Metro II",0,-102.0430476,19.4064492
"614","Jan 25, 1997 at 1238 LT","Chokurdakh, Republic of Yakutia ","Antonov AN-26",0,NA,NA
"615","Jan 11, 1997 at 1900 LT","Djerba, Gabès Governorate ","Swearingen SA227AC Metro III",0,NA,NA
